Date,Move Minutes count,Calories (kcal),Distance (m),Heart Points,Heart Minutes,Low latitude (deg),Low longitude (deg),High latitude (deg),High longitude (deg),Average speed (m/s),Max speed (m/s),Min speed (m/s),Step count,Average weight (kg),Max weight (kg),Min weight (kg),Biking duration (ms),Inactive duration (ms),Walking duration (ms),Running duration (ms),Paced walking duration (ms)
12/10/2024,19,1640.443736,988.2036136,,,,,,,0.412135879,1.386239219,0.263587424,1789,,,,,,558091,,
12/9/2024,11,1647.432533,510.385791,,,,,,,0.571714774,1.118968525,0.274130921,1130,,,,,,670514,,
12/8/2024,18,1659.656773,777.1318828,,,,,,,0.430735623,0.978117964,0.251035656,1608,,,,,,867157,,
12/7/2024,95,1894.351023,6133.951358,56,56,15.535326,76.87739563,15.5365324,76.88694763,0.625031372,1.669333752,0.253043927,9142,,,,,,4642505,,
12/6/2024,14,1643.447148,589.161516,,,,,,,0.678824601,6.446683884,0.263274002,1266,,,,,,606405,,
12/5/2024,34,1700.998849,1209.565618,1,1,,,,,0.511341343,1.34405713,0.253043927,2271,,,,,,1532199,,
12/4/2024,17,1646.79745,630.3942047,,,,,,,0.473756841,0.919064921,0.284674418,1228,,,,,,660299,,
12/3/2024,14,1647.890539,575.2873369,,,,,,,0.37494989,0.784056517,0.253043927,1094,,,,,,677881,,
12/2/2024,14,1679.591659,738.3607653,,,,,,,0.993482429,5.591938019,0.255084602,1734,,,,,,1187835,,
12/1/2024,5,1605.750024,302.6219049,,,,,,,0.358011815,0.653779831,0.253043927,791,,,,,,,,
11/30/2024,173,1893.890309,6310.448982,3,3,,,,,0.655180118,9.450820923,0.255084684,10234,,,,,,4635095,,
11/29/2024,68,1812.03275,2958.205705,1,1,12.9855051,77.69419098,12.98618412,77.69555664,0.663711943,9.36857605,0.250635431,5182,,,,,,3318313,,
11/28/2024,17,1671.242581,741.6598406,,,,,,,0.471466454,1.398373846,0.236769767,1589,,,,,,1053529,,
11/27/2024,4,1641.183101,254.6387746,,,,,,,0.429222582,0.715373,0.260625768,600,,,,,,569985,,
11/26/2024,14,1653.335827,623.6482741,,,,,,,0.587095052,1.195039199,0.263587424,1303,,,,,,629540,60022,
11/25/2024,18,1656.890983,873.2111053,,,,,,,0.517661501,1.010694583,0.249495546,1602,,,,,,822666,,
11/24/2024,11,1629.395077,441.9335323,,,,,,,0.422085711,1.029752982,0.274130921,1021,,,,,,380360,,
11/23/2024,8,1640.766534,327.6918856,,,,,,,0.305420335,0.450666371,0.253043927,707,,,,,,563284,,
11/22/2024,25,1644.51222,821.726674,,,,,,,0.41792605,1.250532004,0.253043927,1505,,,,,,623538,,
11/21/2024,24,1648.414772,775.5796365,,,,,,,0.511763632,0.837170621,0.305761412,1438,,,,,,686315,,
11/20/2024,12,1637.770682,406.8467204,,,,,,,0.448304121,1.322180867,0.253043927,791,,,,,,515092,,
11/19/2024,13,1647.681948,477.224687,,,,,,,0.442584716,0.955526785,0.274130921,1000,,,,,,674527,,
11/18/2024,68,1829.914114,4922.096155,50,50,,,,,0.622622307,6.758945465,0.253169727,7094,,,,,,3605958,,
11/17/2024,97,1921.330477,6264.977274,62,62,15.53529072,76.87825775,15.53577232,76.88191223,0.611200272,1.428588138,0.253043927,9167,,,,,,5076503,,
11/16/2024,69,1825.245542,4806.263982,49,49,,,,,0.450152248,1.4851632,0.263587424,7055,,,,,,3530857,,
11/15/2024,68,1861.269805,5546.510699,48,48,15.53411293,76.88152313,15.54217625,76.89556885,0.413374417,1.900598574,0.253043927,6802,,,,,,4110353,,
11/14/2024,21,1684.604604,1417.769027,10,10,15.53552628,76.87730408,15.53573895,76.87913513,0.511891903,1.582604421,0.253043927,2252,,,,,,1268473,,
11/13/2024,12,1634.095758,457.4113787,,,,,,,0.366256875,1.025002227,0.284674418,951,,,,,,455977,,
11/12/2024,20,1642.680018,747.7513546,,,,,,,0.42944768,1.278340036,0.274130921,1332,,,,,,594065,,
11/11/2024,60,1834.216926,4650.742107,50,50,15.53564739,76.88183594,15.5364275,76.88661194,0.475328317,1.449686055,0.253043927,6677,,,,,,3675172,,
11/10/2024,83,1881.376687,5267.225632,49,49,15.53564644,76.88183594,15.54700375,76.90264893,0.503894161,1.41070003,0.274130921,7735,,,,,,4433798,,
11/9/2024,22,1629.604547,1126.991471,2,2,,,,,0.581211275,1.390050781,0.253043927,2167,,,,,,383730,,
11/8/2024,21,1678.931075,985.0638479,,,,,,,0.463950969,1.385960727,0.253043927,1820,,,,,,1177210,,
11/7/2024,15,1643.487122,588.0840124,,,,,,,0.460063847,1.151775237,0.263587424,1216,,,,,,607049,,
11/6/2024,21,1637.047573,690.7010174,,,,,,,0.408324032,1.33125542,0.253043927,1414,,,,,,503461,,
11/5/2024,11,1669.475972,501.5685432,1,1,,,,,0.611549164,1.712759186,0.266362028,972,,,,,,1025112,,
11/4/2024,5,1605.750024,294.0185496,,,,,,,0.500678079,1.162567591,0.253043927,690,,,,,,,,
11/3/2024,83,1931.004213,4980.184094,61,61,15.53487968,76.88159943,15.53618526,76.88179779,0.524329776,1.414710972,0.127411031,7174,,,,758646,,4421604,,
11/2/2024,107,1977.248101,7227.249604,63,63,,,,,0.59224973,6.341519356,0.253043927,10670,,,,,,5976008,,
11/1/2024,77,1869.264322,5694.038278,54,54,15.53514194,76.87723541,15.53735924,76.88845062,0.512547383,5.597725868,0.253043927,8379,,,,,,4238954,,
10/31/2024,52,1660.776919,2130.638768,,,,,,,0.460218986,1.251823362,0.253043927,3721,,,,,,885177,,
10/30/2024,10,1621.319852,448.8575457,,,,,,,0.368079463,1.058316316,0.263587424,885,,,,,,250460,,
10/29/2024,29,1605.750024,1009.207493,,,,,,,0.472367653,1.243343227,0.295217915,1822,,,,,,,,
10/28/2024,59,1823.441934,4818.021447,47,47,15.53555775,76.88183594,15.54702187,76.90263367,0.528339495,1.601113592,0.295217915,6306,,,,,,3501845,,
10/27/2024,87,1926.217128,6037.160242,62,62,15.53555679,76.87770081,15.53649235,76.88661194,0.566235093,1.435117375,0.263587424,8683,,,,,,5155111,,
10/26/2024,61,1829.571686,4484.819541,48,48,,,,,0.570380315,1.455698694,0.274130921,6546,,,,,,3600450,,
10/25/2024,81,1910.813672,4809.426953,52,52,,,,,0.459912009,1.431680714,0.254727343,7091,,,,441819,,4435302,,
10/24/2024,55,1806.692258,4197.382067,47,47,,,,,0.458173407,1.441951076,0.284674418,6009,,,,,,3232406,,
10/23/2024,23,1655.855997,1013.142197,,,,,,,0.377225158,1.086127075,0.274130921,1922,,,,,,806016,,
10/22/2024,69,1825.952397,4728.28407,50,50,15.53664303,76.88718414,15.53669262,76.88725281,0.449432015,1.426942827,0.274130921,6774,,,,,,3542229,,
10/21/2024,69,1833.058787,4723.30274,49,49,15.53982735,76.89224243,15.53983593,76.89225769,0.44877351,1.405981489,0.286681189,6818,,,,,,3656543,,
10/20/2024,89,1928.144889,5967.976658,63,63,,,,,0.4682239,1.432082294,0.263587424,8653,,,,,,5186122,,
